a,first english alphbet
abandon,to leave and never return to
ability,power or skill to do something
boast,talk with excessive pride and self-satisfaction about one's achievements or abilities.
horse,an animal used for riding or carrying load
ice,frozen water
lion,an animal of cat family
mouth,eating organ or an enterance
moth,a flying insect
octa,greek for eight
orca,a type of whale
parrot,a green bird
shout,to talk loudly
tiger,a brown carnivorous animal with stripes
watermelon,a red fruit
zoo,a plan where many kinds of animals are kept
